BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                10520  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '                  '  /                                              
FILENAME= 'PG1351F.FITS      '  /  IRAF filename                               
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2015-08-12T19:03:57' / Date FITS file was generated                  
IRAF-TLM= '2015-08-12T19:03:57' / Time of last modification                     
APNUM1  = '1 1     '                                                            
WCSDIM  =                    1                                                  
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =              1150.01                                                  
CRPIX1  =                   1.                                                  
CDELT1  =    0.030511835725829                                                  
CD1_1   =    0.030511835725829                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear'                                                        
DC-FLAG =                    0                                                  
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
1150.01  0.
1150.04051183573  0.
1150.07102367145  0.
1150.10153550718  0.
1150.1320473429  0.
1150.16255917863  0.
1150.19307101436  0.
1150.22358285008  0.
1150.25409468581  0.
1150.28460652153  0.
1150.31511835726  1.405743E-17
1150.34563019298  -6.600324E-17
1150.37614202871  3.797840E-16
1150.40665386444  3.916412E-15
1150.43716570016  9.075727E-15
1150.46767753589  9.737312E-15
1150.49818937161  5.575107E-15
1150.52870120734  4.843877E-15
1150.55921304307  8.206391E-15
1150.58972487879  6.040982E-15
1150.62023671452  6.027296E-15
1150.65074855024  9.933255E-15
1150.68126038597  1.266061E-14
1150.71177222169  1.434414E-14
1150.74228405742  1.341993E-14
1150.77279589315  1.087163E-14
1150.80330772887  1.386958E-14
1150.8338195646  1.709691E-14
1150.86433140032  1.392786E-14
1150.89484323605  1.306574E-14
1150.92535507177  1.221218E-14
1150.9558669075  1.299059E-14
1150.98637874323  1.319002E-14
1151.01689057895  1.006400E-14
1151.04740241468  1.033900E-14
1151.0779142504  1.253197E-14
1151.10842608613  1.199402E-14
1151.13893792186  1.502476E-14
1151.16944975758  9.344807E-15
1151.19996159331  1.398997E-14
1151.23047342903  1.443883E-14
1151.26098526476  1.238624E-14
1151.29149710049  8.742061E-15
1151.32200893621  9.714302E-15
1151.35252077194  9.376186E-15
1151.38303260766  1.111821E-14
1151.41354444339  9.488632E-15
1151.44405627911  1.060349E-14
